imdbid,book_id,title,author,year,full_name,budget,revenue,runtime,poster_path,rating_average,vote_count,standardized_rating,normalized_rating,goodreads_scale_rating
tt0273729,601799.0,Laura,Vera Caspary,1968.0,Laura 1968,0,0,,/44YZYLc9zjrzWSbho7Wi47lW04u.jpg,6.4,30.0,-0.121648318076074,0.605633802816901,3.2
tt0071780,54822.0,Leaving Cheyenne,Larry McMurtry,1974.0,Lovin' Molly 1974,0,0,98.0,/1ZJhPHK3tm59Q4i181vEBmi41du.jpg,5.9,396.0,-0.61621479474862,0.535211267605634,2.95
tt0071548,5090741.0,The Ledger,Dorothy Uhnak,1974.0,Get Christie Love! 1974,0,0,74.0,/3jFsOk5s4Xg1Jozc4yPCIUZCsrg.jpg,5.5,266.0,-1.01186797608666,0.47887323943662,2.75
tt0190524,27523.0,Left Behind,Tim LaHaye,2000.0,Left Behind 2000,0,0,96.0,/xCeOMkbyD2xBLZPMKRRCUMhJWRN.jpg,4.6,8439.0,-1.90208763409724,0.352112676056338,2.3
tt0283644,27523.0,Left Behind,Tim LaHaye,2002.0,Left Behind II: Tribulation Force 2002,0,0,94.0,/SyGTK1WIfjKArTbbW69WDQTCSc.jpg,5.2,3422.0,-1.30860786209018,0.436619718309859,2.6
tt1648204,420849.0,Lemonade Mouth,0,2011.0,Lemonade Mouth 2011,0,0,106.0,/nrGiOFh7wk2x726tiN8kQ6nhF5b.jpg,7.0,11781.0,0.47183145393098,0.690140845070423,3.5
tt0057091,625094.0,The Leopard,Giuseppe Tomasi di Lampedusa,1963.0,The Leopard 1963,0,0,186.0,/pZveAWV7cemGPO7n2zgxRuFusHN.jpg,8.1,19746.0,1.55987770261058,0.845070422535211,4.05
tt1139797,4907587.0,Let the Right One In,John Ajvide Lindqvist,2008.0,Let the Right One In 2008,4000000,10785801,115.0,/9FGpMfbpKjN7i2jF2gQpvQvK9VB.jpg,7.9,193147.0,1.36205111194156,0.816901408450704,3.95
tt1228987,4907587.0,Let the Right One In,John Ajvide Lindqvist,2010.0,Let Me In 2010,20000000,24145613,116.0,/90Y8RVSlOnWsG8PO6evI4ycXItg.jpg,7.1,105741.0,0.570744749265489,0.704225352112676,3.55
tt0041587,13287266.0,Letter to Five Wives,0,1949.0,A Letter to Three Wives 1949,0,0,103.0,/xeEXJjOBdrMHDzB6QKR4yrl7ARQ.jpg,7.8,7413.0,1.26313781660705,0.802816901408451,3.9
tt0094947,49540.0,Les Liaisons dangereuses,Pierre Choderlos de Laclos,1988.0,Dangerous Liaisons 1988,14000000,34670720,119.0,/2rXbkUzM5ySwh3FmsFWSZdkMiaP.jpg,7.6,59221.0,1.06531122593803,0.774647887323944,3.8
tt0098575,49540.0,Les Liaisons dangereuses,Pierre Choderlos de Laclos,1989.0,Valmont 1989,33000000,1132112,137.0,/ez9OFvq9Ayzuwb8jroCHY2Z06Xb.jpg,7.0,11554.0,0.47183145393098,0.690140845070423,3.5
tt0139134,49540.0,Les Liaisons dangereuses,Pierre Choderlos de Laclos,1999.0,Cruel Intentions 1999,10500000,75902208,97.0,/6RQu0J2u7viDa34Nn98sKaHv5jD.jpg,6.8,166182.0,0.274004863261962,0.661971830985915,3.4
tt0380689,49540.0,Les Liaisons dangereuses,Pierre Choderlos de Laclos,2003.0,Untold Scandal 2003,0,0,124.0,/kyM639uVa6bYY73LDJzNUmOUs26.jpg,7.1,2020.0,0.570744749265489,0.704225352112676,3.55
tt0076348,58177.0,The Life Before Us,Romain Gary,1977.0,Madame Rosa 1977,0,0,105.0,/o2yCU9XwakKnpD33D8TxenRSiNM.jpg,7.3,912.0,0.768571339934507,0.732394366197183,3.65
tt1189340,79884.0,The Lincoln Lawyer,Michael Connelly,2011.0,The Lincoln Lawyer 2011,40000000,85412898,119.0,/bTXtxFUyqQ6T9FRa3ajSdMtwnAj.jpg,7.3,194067.0,0.768571339934507,0.732394366197183,3.65
tt0046002,3199179.0,A Lion Is in the Streets,Adria Locke Langley,1953.0,A Lion Is in the Streets 1953,0,0,88.0,/zZqd0pwGmfseTwEfSwgJRF0oClt.jpg,6.3,526.0,-0.220561613410584,0.591549295774648,3.15
tt0490624,31250.0,Little Dorrit,Charles Dickens,1913.0,Little Dorrit 1913,0,0,,/bEnG08lIsKieXGJGFoV8E6yZ1QI.jpg,,,,,
tt0082497,148432.0,The Lizard's Tail,0,1981.0,The Hand 1981,6500000,566736,104.0,/cgt0ooRchX19dANSTzdyNkoVW0I.jpg,5.4,5074.0,-1.11078127142117,0.464788732394366,2.7
